"","id","sigma_in","sigma_out","sigma_all","RANK","RANKout","RANKin","in_cp","out_cp","all_cp","X","sigma_cp","rank_cp","cp","country","TIME_PERIOD","LTE","internet","gdp_pct","schooling","log_gdp_pct","D_log_gdp_pct","D_internet","landlocked","continent","lat","lon","langoff_1","colonizer1","category","development"
"1","ARG",541244905,504003855,1045248760,43,43,44,0,0,0,1,1045248760,43,0,"Argentina",2014,1,64.699997,13456.13,17.422319,9.5071898,-0.035765648,4.7999954,0,"America",-34.666668,-58.5,"Spanish","ESP","Emerging and Developing Economies",0
"2","AUS",1512201344,1976762774,3488964118,20,20,22,0,0,0,2,3488964118,20,0,"Australia",2014,1,84,56327.852,23.083158,10.938945,0.010706902,0.5,0,"Pacific",-35.299999,149.133,"English","GBR","Advanced Economies",1
"3","AUT",1281283040,1294490881,2575773921,26,26,26,0,0,0,3,2575773921,26,0,"Austria",2014,1,81,43838.828,16.022249,10.688275,-0.00028610229,0.40000153,1,"Europe",48.216667,16.366667,"German","","Advanced Economies",1
"4","BEL",2451079837,2313841773,4764921610,13,13,13,0,0,0,4,4764921610,13,0,"Belgium",2014,1,85,40533.91,19.707769,10.609894,0.013061523,2.8000031,0,"Europe",50.833332,4.3499999,"Dutch","","Advanced Economies",1
"5","BGD",367933984,283861994,651795978,49,49,52,0,0,0,5,651795978,49,0,"Bangladesh",2014,1,11.9,1159.41,10.698958,7.0556664,0.049732208,5.2699995,0,"Asia",23.700001,90.366669,"Bengali","GBR","Emerging and Developing Economies",0
"6","BGR",283189612,226979509,510169121,54,54,57,0,0,0,6,510169121,54,0,"Bulgaria",2014,1,55.5,6941.02,15.4975,8.8452044,0.021595001,2.4000015,0,"Europe",42.666668,23.299999,"Bulgarian","TUR","Emerging and Developing Economies",0
"7","BLR",338706871,261552961,600259832,50,50,51,0,0,0,7,600259832,50,0,"Belarus",2014,1,59,6212.9199,15.41368,8.7343864,0.015815735,4.7999992,0,"Europe",53.849998,27.5,"Belarussian","RUS","Emerging and Developing Economies",0
"8","BRA",1534829882,1461628967,2996458849,22,22,20,0,0,0,8,2996458849,22,0,"Brazil",2014,1,54.599998,9338.3398,15.36814,9.1418839,-0.003036499,3.5999985,0,"America",-15.78,-47.91,"Portuguese","PRT","Emerging and Developing Economies",0
"9","BRN",51508084,95315644,146823728,66,66,73,0,0,0,9,146823728,66,0,"Brunei Darussalam",2014,1,68.800003,31148.73,14.63543,10.346529,-0.03880024,4.3000031,0,"Asia",4.9333334,114.96667,"Malay","GBR","Emerging and Developing Economies",0
"10","CAN",3413422845,3934862534,7348285379,9,9,8,1,1,1,10,7348285379,9,1,"Canada",2014,1,87.099998,43643.238,15.8756,10.683804,0.018315315,1.2999954,0,"America",45.419998,-75.709999,"English","GBR","Advanced Economies",1
"11","CHE",2061208289,1923227154,3984435443,14,14,18,0,0,0,11,3984435443,14,0,"Switzerland",2014,1,83.599998,83394.367,16.08972,11.331336,0.011025429,-2.7000046,1,"Europe",46.950001,7.4333334,"German","","Advanced Economies",1
"12","CHL",565090122,648138484,1213228606,39,39,42,0,0,0,12,1213228606,39,0,"Chile",2014,1,61.099998,13285.95,16.26063,9.494462,0.0077991486,3.0999985,0,"America",-33.5,-70.666664,"Spanish","ESP","Emerging and Developing Economies",0
"13","CHN",1374613300,0,1374613300,1,1,2,1,1,1,13,1374613300,1,1,"China",2014,1,47.900002,7686.5801,13.742794,8.9472313,0.065663338,2.1000023,0,"Asia",39.916668,116.43333,"Chinese","","Emerging and Developing Economies",0
"14","CIV",91151990,90448342,181600332,67,67,69,0,0,0,14,181600332,67,0,"Cote d'Ivoire",2014,0,10,1742.54,8.2837296,7.463099,0.065335274,3.4000001,0,"Africa",5.3166666,-4.0166669,"French","FRA","Emerging and Developing Economies",0
"15","CMR",70740557,47725846,118466403,71,71,71,0,0,0,15,118466403,71,0,"Cameroon",2014,0,16.200001,1381.8199,11.93564,7.2311568,0.025365829,6.2000008,0,"Africa",3.8499999,11.516666,"French","FRA","Emerging and Developing Economies",0
"16","COL",536538413,458917112,995455525,46,46,43,0,0,0,16,995455525,46,0,"Colombia",2014,1,52.599998,6121.8398,14.60218,8.7196178,0.035079956,0.89999771,0,"America",4.6333332,-75.066666,"Spanish","ESP","Emerging and Developing Economies",0
"17","CRI",138611019,215584394,354195413,57,57,67,0,0,0,17,354195413,57,0,"Costa Rica",2014,1,53,11422.67,14.63491,9.3433552,0.024058342,7,0,"America",9.9833336,-84.066666,"Spanish","ESP","Emerging and Developing Economies",0
"18","CYP",104163087,31126619,135289706,73,73,68,0,0,0,18,135289706,73,0,"Cyprus",2014,0,69.300003,22581.83,14.46158,10.0249,-0.0069141388,3.8000031,0,"Europe",35.150002,33.349998,"Greek","GBR","Advanced Economies",1
"19","CZE",1190283244,1164260702,2354543946,25,25,30,0,0,0,19,2354543946,25,0,"Czechia",2014,0,74.199997,17118.039,16.961361,9.7478886,0.021151543,0.099998474,1,"Europe",50.099998,14.433333,"Czech","AUT","Advanced Economies",1
